TimeStamp,CAN ID,Signal,Raw Value,Physical Value
2022-12-27 17:21:31.433900+00:00,435164160,EngineModel,OXE300,OXE300
2022-12-27 17:21:31.433900+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:21:31.433900+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:21:31.433900+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-12-27 17:21:31.435650+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:31.435650+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:21:31.435650+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:21:31.435650+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:41.925000+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:41.925000+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:41.925000+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:41.925000+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:42.151650+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:42.151650+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:42.151650+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:42.151650+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:42.173350+00:00,435164160,EngineModel,OXE300,OXE300
2022-12-27 17:21:42.173350+00:00,435164160,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:42.173350+00:00,435164160,EngineFwVersion,,
2022-12-27 17:21:42.173350+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-12-27 17:21:43.187450+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:43.187450+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:43.187450+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:43.187450+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:43.212900+00:00,435164160,EngineModel,OXE300,OXE300
2022-12-27 17:21:43.212900+00:00,435164160,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:43.212900+00:00,435164160,EngineFwVersion,,
2022-12-27 17:21:43.212900+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-12-27 17:21:44.022150+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:44.022150+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:44.022150+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:44.022150+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:44.231850+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:44.231850+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:44.231850+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:44.231850+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:44.824750+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:44.824750+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:44.824750+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:44.824750+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:45.342450+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:45.342450+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:45.342450+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:45.342450+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:45.847100+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:45.847100+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:45.847100+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:45.847100+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:46.338900+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:46.338900+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:46.338900+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:46.338900+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:46.821950+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:46.821950+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:46.821950+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:46.821950+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:47.297250+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:47.297250+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:47.297250+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:47.297250+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:47.763950+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:47.763950+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:47.763950+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:47.763950+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:48.226550+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:48.226550+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:48.226550+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:48.226550+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:21:48.682150+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:21:48.682150+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:21:48.682150+00:00,435164161,EngineFwVersion,,
2022-12-27 17:21:48.682150+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:22:01.437000+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:22:01.437000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:22:01.437000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:22:01.437000+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:22:01.439300+00:00,435164160,EngineModel,OXE300,OXE300
2022-12-27 17:22:01.439300+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:22:01.439300+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:22:01.439300+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-12-27 17:22:01.456200+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-12-27 17:22:01.456200+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-12-27 17:22:01.456200+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-12-27 17:22:01.456200+00:00,435164402,EngineSerialnumber,27,27
2022-12-27 17:22:31.441050+00:00,435164160,EngineModel,OXE300,OXE300
2022-12-27 17:22:31.441050+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:22:31.441050+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:22:31.441050+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-12-27 17:22:31.457950+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-12-27 17:22:31.457950+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-12-27 17:22:31.457950+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-12-27 17:22:31.457950+00:00,435164402,EngineSerialnumber,27,27
2022-12-27 17:22:58.258750+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:22:58.258750+00:00,435164161,EngineSwVersion,SWFL-,SWFL-
2022-12-27 17:22:58.258750+00:00,435164161,EngineFwVersion,,
2022-12-27 17:22:58.258750+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:23:01.442000+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-12-27 17:23:01.442000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-12-27 17:23:01.442000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-12-27 17:23:01.442000+00:00,435164402,EngineSerialnumber,27,27
2022-12-27 17:23:01.443200+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:23:01.443200+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:23:01.443200+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:23:01.443200+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:23:01.443750+00:00,435164160,EngineModel,OXE300,OXE300
2022-12-27 17:23:01.443750+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:23:01.443750+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:23:01.443750+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-12-27 17:23:31.435300+00:00,435164160,EngineModel,OXE300,OXE300
2022-12-27 17:23:31.435300+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:23:31.435300+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:23:31.435300+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-12-27 17:23:31.436450+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:23:31.436450+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:23:31.436450+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:23:31.436450+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:23:31.457900+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-12-27 17:23:31.457900+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-12-27 17:23:31.457900+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-12-27 17:23:31.457900+00:00,435164402,EngineSerialnumber,27,27
2022-12-27 17:24:01.437100+00:00,435164160,EngineModel,OXE300,OXE300
2022-12-27 17:24:01.437100+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:24:01.437100+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:24:01.437100+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-12-27 17:24:01.438800+00:00,435164161,EngineModel,OXE300,OXE300
2022-12-27 17:24:01.438800+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-12-27 17:24:01.438800+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-12-27 17:24:01.438800+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-12-27 17:24:01.459250+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-12-27 17:24:01.459250+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-12-27 17:24:01.459250+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-12-27 17:24:01.459250+00:00,435164402,EngineSerialnumber,27,27
